LIKE_CLASSIC,LIKE_LAU,LIKE_SURVIVOR,FAVOURITE_LARA,CLL_OVERSEX,CLL_OSX_FACE,CLL_OSX_BREASTS,CLL_OSX_WAIST,CLL_OSX_HIPS,CLL_OSX_BEHAVIOUR,CLL_OSX_CLOTHES,CLL_OSX_ARTWORK,CLL_OSX_ADS,CLL_OSX_OTHER,CLASSIC_ATTR,LAU_ATTR,SURVIVOR_ATTR,SEX,ORIENTATION,AGE_GROUP
A lot,Didn't play,Didn't play,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Other/Doesn't say,Other/Doesn't say,Doesn't say
A lot,Quite a bit,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
Quite a bit,Quite a bit,Quite a bit,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Bisexual,25-34
A lot,Somewhat,A little,Classic,Yes,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,A lot,Quite a bit,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
A lot,Somewhat,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,Quite a bit,A lot,None,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Other/Doesn't say,Gay/Lesbian,25-34
Didn't play,Didn't play,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,18-24
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Straight,25-34
A lot,Somewhat,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,A lot,Somewhat,LAU,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Bisexual,18-24
A lot,A lot,A lot,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,18-24
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
Didn't play,Didn't play,Quite a bit,Survivor,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,18-24
Quite a bit,Quite a bit,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,18-24
A lot,Quite a bit,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male,Straight,18-24
A lot,A lot,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Bisexual,25-34
A lot,A lot,Somewhat,Classic,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Bisexual,25-34
A lot,A lot,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,A little,Didn't play,Classic,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Straight,25-34
Didn't play,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Male,Straight,18-24
Didn't play,A lot,Somewhat,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,18-24
A lot,A lot,A lot,Survivor,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,18-24
Quite a bit,A lot,A lot,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,25-34
A lot,A lot,Quite a bit,LAU,Yes,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Female,Bisexual,18-24
A lot,A lot,Somewhat,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Quite a bit,Quite a bit,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,A lot,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Bisexual,18-24
Quite a bit,Didn't play,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,35-44
A lot,A lot,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Other/Doesn't say,Gay/Lesbian,25-34
A lot,Quite a bit,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,18-24
A lot,Quite a bit,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Asexual,25-34
A lot,A lot,A lot,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Gay/Lesbian,25-34
Didn't play,Quite a bit,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,25-34
A lot,Somewhat,A lot,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Male,Bisexual,35-44
A lot,Quite a bit,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,25-34
A lot,Somewhat,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Female,Straight,25-34
Quite a bit,Quite a bit,A lot,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Straight,45-54
Quite a bit,A lot,A lot,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,25-34
Quite a bit,Quite a bit,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
Somewhat,Somewhat,A lot,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Straight,35-44
A little,A lot,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Male,Gay/Lesbian,25-34
Quite a bit,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,18-24
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male,Gay/Lesbian,25-34
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,Somewhat,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,25-34
Quite a bit,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Gay/Lesbian,35-44
Somewhat,Quite a bit,Didn't play,LAU,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Male,Straight,18-24
Somewhat,A lot,Quite a bit,LAU,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Other/Doesn't say,Other/Doesn't say,25-34
Didn't play,Quite a bit,A lot,LAU,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Somewhat,Not at all,A lot,Survivor,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,18-24
Not at all,Quite a bit,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Bisexual,25-34
Quite a bit,Quite a bit,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
A lot,A lot,A lot,None,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,55-64
A lot,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Male,Straight,18-24
A lot,A lot,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male,Gay/Lesbian,18-24
A lot,Somewhat,A little,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
Somewhat,Somewhat,A lot,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Bisexual,18-24
A lot,A lot,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
A lot,A lot,A lot,None,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Other/Doesn't say,25-34
A lot,A lot,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,25-34
Quite a bit,A lot,A lot,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Asexual,25-34
A lot,Quite a bit,Quite a bit,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Bisexual,25-34
Quite a bit,A lot,Somewhat,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Straight,25-34
A lot,Quite a bit,A lot,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
A lot,A lot,A lot,None,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female,Gay/Lesbian,18-24
Quite a bit,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Other/Doesn't say,Gay/Lesbian,25-34
A lot,A lot,Somewhat,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Straight,25-34
Quite a bit,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
Didn't play,Quite a bit,A lot,Survivor,Yes,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Male,Bisexual,18-24
A lot,A lot,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male,Gay/Lesbian,25-34
A lot,Quite a bit,A lot,Classic,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Male,Gay/Lesbian,25-34
A lot,Quite a bit,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female,Gay/Lesbian,18-24
Somewhat,A lot,Quite a bit,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Gay/Lesbian,35-44
A lot,A lot,Somewhat,Classic,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,25-34
Quite a bit,A lot,A lot,LAU,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Female,Straight,18-24
Didn't play,Somewhat,A lot,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female,Straight,18-24
Didn't play,Didn't play,A lot,Survivor,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Gay/Lesbian,18-24
Quite a bit,Didn't play,Quite a bit,Survivor,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Female,Asexual,35-44
A lot,A little,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male,Other/Doesn't say,25-34
Quite a bit,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,35-44
A little,A lot,A lot,Survivor,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,35-44
A lot,Quite a bit,A lot,None,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
Quite a bit,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Asexual,18-24
Didn't play,Somewhat,Quite a bit,None,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
A lot,Quite a bit,A lot,Classic,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,35-44
A lot,A lot,A lot,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,Doesn't say
A little,A lot,Somewhat,LAU,Yes,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Didn't play,A lot,A lot,Survivor,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,18-24
Somewhat,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Male,Bisexual,18-24
A lot,A lot,A little,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female,Straight,25-34
Somewhat,Didn't play,A lot,Survivor,Yes,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male,Straight,25-34
A lot,Quite a bit,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Straight,45-54
A lot,Somewhat,Quite a bit,Classic,Unsure/Don't know,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Straight,25-34
Quite a bit,Quite a bit,A lot,Survivor,Yes,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Female,Bisexual,25-34
A lot,A lot,Quite a bit,LAU,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male,Gay/Lesbian,25-34
A lot,A lot,A lot,LAU,Yes,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Female,Straight,25-34
Quite a bit,Somewhat,Somewhat,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Male,Straight,35-44
A lot,Somewhat,Not at all,Classic,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Other/Doesn't say,Gay/Lesbian,18-24
